,title,link,location,phone,price,details,about,web id,mls id,bedrooms,full baths,property type,interior,amneties,features,img_src,partial baths,exterior
0,Trimark Building,https://www.hgchristie.com/eng/rentals/detail/529-l-82274-f978409738/market-street-and-bay-street-downtown-np,"Downtown, Nassau and Paradise Island, Bahamas",,"$23,811Monthly","Four (4) storey office located in the downtown financial district. Onsite amenities include a backup generator, controlled access system and elevators servicing each floor.","Four (4) storey office located in the downtown financial district. Onsite amenities include a backup generator, controlled access system and elevators servicing each floor.",F978409738,51120,,,Building,"8,929 Sq Ft.",,,"['https://img.gtsstatic.net/reno/imagereader.aspx?imageurl=http%3A%2F%2Fdealerimages.gabriels.net%2FCIRE%2Fphotos%2Fhg_affiliate%2Fphotos%2F51120_1.jpg%3F11%3A02%3A41&permitphotoenlargement=false&w=16000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&fallbackimageurl=https%3A%2F%2Fstatic-hgchristie-production.gtsstatic.net%2Fresources%2Fv_4_19_0_334%2F_responsive%2Fimages%2Fcommon%2Fnophoto%2Flisting.jpg', 'https://img.gtsstatic.net/reno/imagereader.aspx?imageurl=http%3A%2F%2Fdealerimages.gabriels.net%2FCIRE%2Fphotos%2Fhg_affiliate%2Fphotos%2F51120_2.jpg%3F11%3A02%3A41&permitphotoenlargement=false&w=1600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&fallbackimageurl=https%3A%2F%2Fstatic-hgchristie-production.gtsstatic.net%2Fresources%2Fv_4_19_0_334%2F_responsive%2Fimages%2Fcommon%2Fnophoto%2Flisting.jpg', 'https://img.gtsstatic.net/reno/imagereader.aspx?imageurl=http%3A%2F%2Fdealerimages.gabriels.net%2FCIRE%2Fphotos%2Fhg_affiliate%2Fphotos%2F51120_3.jpg%3F11%3A02%3A41&permitphotoenlargement=false&w=1600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&fallbackimageurl=https%3A%2F%2Fstatic-hgchristie-production.gtsstatic.net%2Fresources%2Fv_4_19_0_334%2F_responsive%2Fimages%2Fcommon%2Fnophoto%2Flisting.jpg', 'https://img.gtsstatic.net/reno/imagereader.aspx?imageurl=http%3A%2F%2Fdealerimages.gabriels.net%2FCIRE%2Fphotos%2Fhg_affiliate%2Fphotos%2F51120_4.jpg%3F11%3A02%3A41&permitphotoenlargement=false&w=1600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&fallbackimageurl=https%3A%2F%2Fstatic-hgchristie-production.gtsstatic.net%2Fresources%2Fv_4_19_0_334%2F_responsive%2Fimages%2Fcommon%2Fnophoto%2Flisting.jpg', 'https://img.gtsstatic.net/reno/imagereader.aspx?imageurl=http%3A%2F%2Fdealerimages.gabriels.net%2FCIRE%2Fphotos%2Fhg_affiliate%2Fphotos%2F51120_5.jpg%3F11%3A02%3A41&permitphotoenlargement=false&w=1600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&fallbackimageurl=https%3A%2F%2Fstatic-hgchristie-production.gtsstatic.net%2Fresources%2Fv_4_19_0_334%2F_responsive%2Fimages%2Fcommon%2Fnophoto%2Flisting.jpg']",,
1,Commercial Office Space Available In Lyford Cay Manor,https://www.hgchristie.com/eng/rentals/detail/529-l-83956-f1123619284/lyford-cay-shopping-centre-lyford-cay-np,"Lyford Cay, Nassau and Paradise Island, Bahamas",+1 242 362 7713,"$15,000Monthly","Lyford Manor is a Grade A commercial office building located at the western end of New Providence near Lyford Cay. This area is considered the western financial district. The current space available for rent is located in the main building on the second floor with an elevator and is approximately 4,000 square feet. The space consists of a central open office area which works as a good...","Lyford Manor is a Grade A commercial office building located at the western end of New Providence near Lyford Cay. This area is considered the western financial district. The current space available for rent is located in the main building on the second floor with an elevator and is approximately 4,000 square feet. The space consists of a central open office area which works as a good reception space as well as open-plan workstations. There is a boardroom featuring a kitchen-bar and a private balcony. The board room interconnects with a large director's office with its own private ensuite bathroom with shower and private balcony. The space then consists of four additional executive private offices of varying sizes, one of which has a private balcony. There is an additional full staff bathroom with a shower. There is also a vault, store room, and common staff room. The offices come partially furnished and feature high ceilings and would be ideal for financial, legal, architectural, or consulting firms. The entrance of the building is shared with additional tenants and has a main winding staircase and elevator. There are general area restrooms, security buzzed entrance with camera and large glass doors. The suite has a separate air conditioning system, full backup generator, and water provided by NPDCo and backup with well water. There are six dedicated parking spaces in the rear and one visitor parking space in the front of the building. There is security housed in a security booth with a direct phone line along with 24-hour security cameras. There is also onsite maintenance caretaker and property management office. The building is also secured with a sturdy Bermuda roof with steel construction as well as hurricane impact windows. Lyford Manor is only a short distance from Charlotteville, Lyford Cay, Albany, Old Fort Bay, and Island House, and to a wide selection of restaurants, shops and the airport. Additional amenities include: â€¢ Open floor reception area â€¢ Numerous storage spaces â€¢ Hurricane Impact Windows â€¢ Central air conditioning â€¢ High ceilings â€¢ Bermuda roofing with steel construction â€¢ 24-hour security cameras â€¢ Full back up generator â€¢ Well water supply plus New Providence Development Company water backup â€¢ On property maintenance caretaker â€¢ On property management office",F1123619284,NR12808,,2,Commercial,"4,000 Sq Ft.","['Central Air Conditioning', 'Island', 'Generator', 'Storm Window', 'Turn-key', 'Well / Septic', 'R/O Water Treatment', 'Storm Shutters']",,"['https://img.gtsstatic.net/reno/imagereader.aspx?imageurl=http%3A%2F%2Fdealerimages.gabriels.net%2FCIRE%2Fphotos%2Fhg_affiliate%2Fphotos%2F51120_1.jpg%3F11%3A02%3A41&permitphotoenlargement=false&w=16000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&fallbackimageurl=https%3A%2F%2Fstatic-hgchristie-production.gtsstatic.net%2Fresources%2Fv_4_19_0_334%2F_responsive%2Fimages%2Fcommon%2Fnophoto%2Flisting.jpg', 'https://img.gtsstatic.net/reno/imagereader.aspx?imageurl=http%3A%2F%2Fdealerimages.gabriels.net%2FCIRE%2Fphotos%2Fhg_affiliate%2Fphotos%2F51120_2.jpg%3F11%3A02%3A41&permitphotoenlargement=false&w=1600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&fallbackimageurl=https%3A%2F%2Fstatic-hgchristie-production.gtsstatic.net%2Fresources%2Fv_4_19_0_334%2F_responsive%2Fimages%2Fcommon%2Fnophoto%2Flisting.jpg', 'https://img.gtsstatic.net/reno/imagereader.aspx?imageurl=http%3A%2F%2Fdealerimages.gabriels.net%2FCIRE%2Fphotos%2Fhg_affiliate%2Fphotos%2F51120_3.jpg%3F11%3A02%3A41&permitphotoenlargement=false&w=1600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&fallbackimageurl=https%3A%2F%2Fstatic-hgchristie-production.gtsstatic.net%2Fresources%2Fv_4_19_0_334%2F_responsive%2Fimages%2Fcommon%2Fnophoto%2Flisting.jpg', 'https://img.gtsstatic.net/reno/imagereader.aspx?imageurl=http%3A%2F%2Fdealerimages.gabriels.net%2FCIRE%2Fphotos%2Fhg_affiliate%2Fphotos%2F51120_4.jpg%3F11%3A02%3A41&permitphotoenlargement=false&w=1600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&fallbackimageurl=https%3A%2F%2Fstatic-hgchristie-production.gtsstatic.net%2Fresources%2Fv_4_19_0_334%2F_responsive%2Fimages%2Fcommon%2Fnophoto%2Flisting.jpg', 'https://img.gtsstatic.net/reno/imagereader.aspx?imageurl=http%3A%2F%2Fdealerimages.gabriels.net%2FCIRE%2Fphotos%2Fhg_affiliate%2Fphotos%2F51120_5.jpg%3F11%3A02%3A41&permitphotoenlargement=false&w=1600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&fallbackimageurl=https%3A%2F%2Fstatic-hgchristie-production.gtsstatic.net%2Fresources%2Fv_4_19_0_334%2F_responsive%2Fimages%2Fcommon%2Fnophoto%2Flisting.jpg']",,
2,YOLANDA,https://www.hgchristie.com/eng/rentals/detail/529-l-82274-f978409963/yolanda-paradise-island-np,"Yolanda, Paradise Island, Nassau and Paradise Island Bahamas",,"$12,000Monthly","Yolanda Condominiums is a private waterfront gated complex located on Paradise Island. This penthouse is situated on the top two levels with elevator access to both floors making it convenient yet private. The space comprises 4,500 sq. ft. with 4 bedrooms and 4 bathrooms and balconies on both levels with panoramic views of the harbour and beyond. Three of the bedrooms have ensuite bathrooms...","Yolanda Condominiums is a private waterfront gated complex located on Paradise Island. This penthouse is situated on the top two levels with elevator access to both floors making it convenient yet private. The space comprises 4,500 sq. ft. with 4 bedrooms and 4 bathrooms and balconies on both levels with panoramic views of the harbour and beyond. Three of the bedrooms have ensuite bathrooms and the two masters have direct access onto the balcony. An additional 800 ft of attic space is available for use as a home office, gym, or storage. The Penthouse is being rented move-in ready with all furniture and appliances to make your move quick and convenient. Includes a boat slip - no access to water or power. Available for rent in February.",F978409963,51141,4,4,Co-op / Condo,"4,500 Sq Ft.",,,"['https://img.gtsstatic.net/reno/imagereader.aspx?imageurl=http%3A%2F%2Fdealerimages.gabriels.net%2FCIRE%2Fphotos%2Fhg_affiliate%2Fphotos%2F51120_1.jpg%3F11%3A02%3A41&permitphotoenlargement=false&w=16000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&fallbackimageurl=https%3A%2F%2Fstatic-hgchristie-production.gtsstatic.net%2Fresources%2Fv_4_19_0_334%2F_responsive%2Fimages%2Fcommon%2Fnophoto%2Flisting.jpg', 'https://img.gtsstatic.net/reno/imagereader.aspx?imageurl=http%3A%2F%2Fdealerimages.gabriels.net%2FCIRE%2Fphotos%2Fhg_affiliate%2Fphotos%2F51120_2.jpg%3F11%3A02%3A41&permitphotoenlargement=false&w=1600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&fallbackimageurl=https%3A%2F%2Fstatic-hgchristie-production.gtsstatic.net%2Fresources%2Fv_4_19_0_334%2F_responsive%2Fimages%2Fcommon%2Fnophoto%2Flisting.jpg', 'https://img.gtsstatic.net/reno/imagereader.aspx?imageurl=http%3A%2F%2Fdealerimages.gabriels.net%2FCIRE%2Fphotos%2Fhg_affiliate%2Fphotos%2F51120_3.jpg%3F11%3A02%3A41&permitphotoenlargement=false&w=1600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&fallbackimageurl=https%3A%2F%2Fstatic-hgchristie-production.gtsstatic.net%2Fresources%2Fv_4_19_0_334%2F_responsive%2Fimages%2Fcommon%2Fnophoto%2Flisting.jpg', 'https://img.gtsstatic.net/reno/imagereader.aspx?imageurl=http%3A%2F%2Fdealerimages.gabriels.net%2FCIRE%2Fphotos%2Fhg_affiliate%2Fphotos%2F51120_4.jpg%3F11%3A02%3A41&permitphotoenlargement=false&w=1600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&fallbackimageurl=https%3A%2F%2Fstatic-hgchristie-production.gtsstatic.net%2Fresources%2Fv_4_19_0_334%2F_responsive%2Fimages%2Fcommon%2Fnophoto%2Flisting.jpg', 'https://img.gtsstatic.net/reno/imagereader.aspx?imageurl=http%3A%2F%2Fdealerimages.gabriels.net%2FCIRE%2Fphotos%2Fhg_affiliate%2Fphotos%2F51120_5.jpg%3F11%3A02%3A41&permitphotoenlargement=false&w=1600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&fallbackimageurl=https%3A%2F%2Fstatic-hgchristie-production.gtsstatic.net%2Fresources%2Fv_4_19_0_334%2F_responsive%2Fimages%2Fcommon%2Fnophoto%2Flisting.jpg']",,
3,WEST BAY STREET,https://www.hgchristie.com/eng/rentals/detail/529-l-82274-f978403603/west-bay-street-np,"West Bay Street, Nassau and Paradise Island, Bahamas",+1 242 362 7713,"$11,000Monthly","Set on a magnificent private beach adjacent to the newly opened Baha Mar Resort in Nassau, The Bahamas, and featuring striking architecture, world-class amenities and breathtaking views, ONE Cable Beach is a real estate investment and lifestyle opportunity without compare.","Set on a magnificent private beach adjacent to the newly opened Baha Mar Resort in Nassau, The Bahamas, and featuring striking architecture, world-class amenities and breathtaking views, ONE Cable Beach is a real estate investment and lifestyle opportunity without compare.",F978403603,50939,4,3,Co-op / Condo,"2,754 Sq Ft.",['Security System'],,"['https://img.gtsstatic.net/reno/imagereader.aspx?imageurl=http%3A%2F%2Fdealerimages.gabriels.net%2FCIRE%2Fphotos%2Fhg_affiliate%2Fphotos%2F51120_1.jpg%3F11%3A02%3A41&permitphotoenlargement=false&w=16000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&fallbackimageurl=https%3A%2F%2Fstatic-hgchristie-production.gtsstatic.net%2Fresources%2Fv_4_19_0_334%2F_responsive%2Fimages%2Fcommon%2Fnophoto%2Flisting.jpg', 'https://img.gtsstatic.net/reno/imagereader.aspx?imageurl=http%3A%2F%2Fdealerimages.gabriels.net%2FCIRE%2Fphotos%2Fhg_affiliate%2Fphotos%2F51120_2.jpg%3F11%3A02%3A41&permitphotoenlargement=false&w=1600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&fallbackimageurl=https%3A%2F%2Fstatic-hgchristie-production.gtsstatic.net%2Fresources%2Fv_4_19_0_334%2F_responsive%2Fimages%2Fcommon%2Fnophoto%2Flisting.jpg', 'https://img.gtsstatic.net/reno/imagereader.aspx?imageurl=http%3A%2F%2Fdealerimages.gabriels.net%2FCIRE%2Fphotos%2Fhg_affiliate%2Fphotos%2F51120_3.jpg%3F11%3A02%3A41&permitphotoenlargement=false&w=1600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&fallbackimageurl=https%3A%2F%2Fstatic-hgchristie-production.gtsstatic.net%2Fresources%2Fv_4_19_0_334%2F_responsive%2Fimages%2Fcommon%2Fnophoto%2Flisting.jpg', 'https://img.gtsstatic.net/reno/imagereader.aspx?imageurl=http%3A%2F%2Fdealerimages.gabriels.net%2FCIRE%2Fphotos%2Fhg_affiliate%2Fphotos%2F51120_4.jpg%3F11%3A02%3A41&permitphotoenlargement=false&w=1600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&fallbackimageurl=https%3A%2F%2Fstatic-hgchristie-production.gtsstatic.net%2Fresources%2Fv_4_19_0_334%2F_responsive%2Fimages%2Fcommon%2Fnophoto%2Flisting.jpg', 'https://img.gtsstatic.net/reno/imagereader.aspx?imageurl=http%3A%2F%2Fdealerimages.gabriels.net%2FCIRE%2Fphotos%2Fhg_affiliate%2Fphotos%2F51120_5.jpg%3F11%3A02%3A41&permitphotoenlargement=false&w=1600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&fallbackimageurl=https%3A%2F%2Fstatic-hgchristie-production.gtsstatic.net%2Fresources%2Fv_4_19_0_334%2F_responsive%2Fimages%2Fcommon%2Fnophoto%2Flisting.jpg']",,.06 Acres
4,Turtle Villa,https://www.hgchristie.com/eng/rentals/detail/529-l-82274-f978403812/dicks-point-eastern-road-np,"Dicks Point, Eastern Road, Nassau and Paradise Island Bahamas",,"$8,800Monthly","Completely renovated and beautifully restored, Turtle Villa is perched on the water's edge inviting the new residents to enjoy island living at its best..... This property is so unique illustrating the owner's love for life in the Bahamas from the tropically landscaped grottos stocked with fish and attracting exotic bird life, to a lap pool with sunset vistas, a deep water channel to a private...","Completely renovated and beautifully restored, Turtle Villa is perched on the water's edge inviting the new residents to enjoy island living at its best..... This property is so unique illustrating the owner's love for life in the Bahamas from the tropically landscaped grottos stocked with fish and attracting exotic bird life, to a lap pool with sunset vistas, a deep water channel to a private dock with boardwalk and even a grass tennis court, if the new resident wishes to maintain it! Turtle Villa, with its cobble stone driveway and attractive stone wall facade is a private oasis and a perfect family playground. Boasting 4 bedrooms and 3.5 bathrooms on two levels, there is plenty of room for family and guests to share this charming, furnished home. With wooden floors throughout, trayed ceilings with ceiling fans and walls of glass, this Bahamian home is filled with natural light and offers exquisite views over the bay, Paradise Island and other neighbouring islands. This is a choice home in a choice location. Price is in US currency.",F978403812,50946,4,3,Single Family Homes,"2,200 Sq Ft.",,,"['https://img.gtsstatic.net/reno/imagereader.aspx?imageurl=http%3A%2F%2Fdealerimages.gabriels.net%2FCIRE%2Fphotos%2Fhg_affiliate%2Fphotos%2F51120_1.jpg%3F11%3A02%3A41&permitphotoenlargement=false&w=16000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&fallbackimageurl=https%3A%2F%2Fstatic-hgchristie-production.gtsstatic.net%2Fresources%2Fv_4_19_0_334%2F_responsive%2Fimages%2Fcommon%2Fnophoto%2Flisting.jpg', 'https://img.gtsstatic.net/reno/imagereader.aspx?imageurl=http%3A%2F%2Fdealerimages.gabriels.net%2FCIRE%2Fphotos%2Fhg_affiliate%2Fphotos%2F51120_2.jpg%3F11%3A02%3A41&permitphotoenlargement=false&w=1600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&fallbackimageurl=https%3A%2F%2Fstatic-hgchristie-production.gtsstatic.net%2Fresources%2Fv_4_19_0_334%2F_responsive%2Fimages%2Fcommon%2Fnophoto%2Flisting.jpg', 'https://img.gtsstatic.net/reno/imagereader.aspx?imageurl=http%3A%2F%2Fdealerimages.gabriels.net%2FCIRE%2Fphotos%2Fhg_affiliate%2Fphotos%2F51120_3.jpg%3F11%3A02%3A41&permitphotoenlargement=false&w=1600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&fallbackimageurl=https%3A%2F%2Fstatic-hgchristie-production.gtsstatic.net%2Fresources%2Fv_4_19_0_334%2F_responsive%2Fimages%2Fcommon%2Fnophoto%2Flisting.jpg', 'https://img.gtsstatic.net/reno/imagereader.aspx?imageurl=http%3A%2F%2Fdealerimages.gabriels.net%2FCIRE%2Fphotos%2Fhg_affiliate%2Fphotos%2F51120_4.jpg%3F11%3A02%3A41&permitphotoenlargement=false&w=1600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&fallbackimageurl=https%3A%2F%2Fstatic-hgchristie-production.gtsstatic.net%2Fresources%2Fv_4_19_0_334%2F_responsive%2Fimages%2Fcommon%2Fnophoto%2Flisting.jpg', 'https://img.gtsstatic.net/reno/imagereader.aspx?imageurl=http%3A%2F%2Fdealerimages.gabriels.net%2FCIRE%2Fphotos%2Fhg_affiliate%2Fphotos%2F51120_5.jpg%3F11%3A02%3A41&permitphotoenlargement=false&w=1600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&fallbackimageurl=https%3A%2F%2Fstatic-hgchristie-production.gtsstatic.net%2Fresources%2Fv_4_19_0_334%2F_responsive%2Fimages%2Fcommon%2Fnophoto%2Flisting.jpg']",,
